number,value,datetime_start,datetime_complete,duration,params_frame_gap,params_over_duration,params_over_height_threshold,state
101,0.2187624876805564,2023-06-20 14:05:43.118785,2023-06-20 14:08:11.809858,0 days 00:02:28.691073,20,30,2.000636022434293,COMPLETE
102,0.16702281001369795,2023-06-20 14:05:53.566269,2023-06-20 14:08:13.499083,0 days 00:02:19.932814,53,32,2.001694139596567,COMPLETE
103,0.16596621158873648,2023-06-20 14:06:13.029601,2023-06-20 14:08:36.817350,0 days 00:02:23.787749,55,31,2.013796683367949,COMPLETE
104,0.16777537097882012,2023-06-20 14:06:18.579734,2023-06-20 14:08:41.735345,0 days 00:02:23.155611,53,43,2.04510612518304,COMPLETE
105,0.16495989541082112,2023-06-20 14:06:28.614992,2023-06-20 14:08:55.130942,0 days 00:02:26.515950,53,32,1.7024515938695393,COMPLETE
106,0.16132995504349418,2023-06-20 14:06:32.147426,2023-06-20 14:08:56.075035,0 days 00:02:23.927609,54,31,1.6970984725844491,COMPLETE
107,0.16122129983574482,2023-06-20 14:06:32.219345,2023-06-20 14:09:00.290588,0 days 00:02:28.071243,55,33,1.7066298664945638,COMPLETE
108,0.162110152854942,2023-06-20 14:07:26.849490,2023-06-20 14:09:47.115158,0 days 00:02:20.265668,54,32,1.7024163231056264,COMPLETE
109,0.16710090416161627,2023-06-20 14:07:30.922440,2023-06-20 14:09:48.794564,0 days 00:02:17.872124,53,33,1.7714471450332336,COMPLETE
110,0.16745486769572457,2023-06-20 14:08:00.012242,2023-06-20 14:10:18.915423,0 days 00:02:18.903181,54,44,1.6971809247725158,COMPLETE
111,0.16421845859255668,2023-06-20 14:08:00.089316,2023-06-20 14:10:23.204990,0 days 00:02:23.115674,55,43,1.7461253641586651,COMPLETE
112,0.16273073954191997,2023-06-20 14:08:05.556136,2023-06-20 14:10:29.511487,0 days 00:02:23.955351,54,33,1.6378662527407999,COMPLETE
113,0.16745486769572457,2023-06-20 14:08:11.845720,2023-06-20 14:10:35.227823,0 days 00:02:23.382103,54,44,1.6917988217124993,COMPLETE
114,0.16728066450350487,2023-06-20 14:08:13.524553,2023-06-20 14:10:39.542383,0 days 00:02:26.017830,54,43,1.7150909218291854,COMPLETE
115,0.16197224297200685,2023-06-20 14:08:36.854670,2023-06-20 14:11:01.479185,0 days 00:02:24.624515,54,32,1.7272632677964153,COMPLETE
116,0.16154608220744937,2023-06-20 14:08:41.767613,2023-06-20 14:11:06.217932,0 days 00:02:24.450319,56,32,1.704236877775881,COMPLETE
117,0.16118506795168686,2023-06-20 14:08:55.153654,2023-06-20 14:11:25.615895,0 days 00:02:30.462241,55,33,1.695763354354229,COMPLETE
118,0.16013038982532857,2023-06-20 14:08:56.104365,2023-06-20 14:11:23.920920,0 days 00:02:27.816555,56,27,1.7300928985726667,COMPLETE
119,0.16371862503769966,2023-06-20 14:09:00.334192,2023-06-20 14:11:25.381557,0 days 00:02:25.047365,57,25,1.7908577719480863,COMPLETE
120,0.16188645500506696,2023-06-20 14:09:47.130534,2023-06-20 14:12:01.003506,0 days 00:02:13.872972,56,25,1.686490713522669,COMPLETE
121,0.16015266604827222,2023-06-20 14:09:48.813569,2023-06-20 14:12:05.461788,0 days 00:02:16.648219,55,27,1.6866735252798588,COMPLETE
122,0.16083968212924998,2023-06-20 14:10:18.938353,2023-06-20 14:12:36.632010,0 days 00:02:17.693657,56,26,1.6879699641810286,COMPLETE
123,0.16163722081741366,2023-06-20 14:10:23.231522,2023-06-20 14:12:39.471360,0 days 00:02:16.239838,56,27,1.668353194856621,COMPLETE
124,0.16083968212924998,2023-06-20 14:10:29.541122,2023-06-20 14:12:48.957793,0 days 00:02:19.416671,56,26,1.6798538227404385,COMPLETE
125,0.16124803517742625,2023-06-20 14:10:35.255403,2023-06-20 14:12:54.865276,0 days 00:02:19.609873,57,25,1.7306793073998104,COMPLETE
126,0.16899130734427564,2023-06-20 14:10:39.566820,2023-06-20 14:13:01.169790,0 days 00:02:21.602970,61,26,1.656255288362139,COMPLETE
127,0.1607589963977064,2023-06-20 14:11:01.532205,2023-06-20 14:13:23.206825,0 days 00:02:21.674620,57,25,1.6952897656541714,COMPLETE
128,0.16077846965072437,2023-06-20 14:11:06.248229,2023-06-20 14:13:25.970412,0 days 00:02:19.722183,57,28,1.6626683447707065,COMPLETE
129,0.1692561515782288,2023-06-20 14:11:23.957933,2023-06-20 14:13:46.767387,0 days 00:02:22.809454,58,25,1.656854430145137,COMPLETE
130,0.16314897644517215,2023-06-20 14:11:25.411094,2023-06-20 14:13:52.804640,0 days 00:02:27.393546,57,35,1.6502883188134143,COMPLETE
131,0.1607589963977064,2023-06-20 14:11:25.642164,2023-06-20 14:13:51.228765,0 days 00:02:25.586601,57,25,1.688292905722623,COMPLETE
132,0.1692561515782288,2023-06-20 14:12:01.034152,2023-06-20 14:14:15.260854,0 days 00:02:14.226702,58,25,1.6523504042746509,COMPLETE
133,0.16201684369835262,2023-06-20 14:12:05.527953,2023-06-20 14:14:21.050000,0 days 00:02:15.522047,57,25,1.6548225512539065,COMPLETE
134,0.1607589963977064,2023-06-20 14:12:37.065931,2023-06-20 14:14:48.597479,0 days 00:02:11.531548,57,25,1.6824630754956857,COMPLETE
135,0.17575642925590723,2023-06-20 14:12:39.494421,2023-06-20 14:14:56.004747,0 days 00:02:16.510326,59,27,1.6488201413681853,COMPLETE
136,0.17107365677805575,2023-06-20 14:12:49.007591,2023-06-20 14:15:06.638980,0 days 00:02:17.631389,67,26,1.648668285643001,COMPLETE
137,0.17226527957421622,2023-06-20 14:12:54.879104,2023-06-20 14:15:09.831956,0 days 00:02:14.952852,60,27,1.6418137417590388,COMPLETE
138,0.1616907377870071,2023-06-20 14:13:01.186951,2023-06-20 14:15:22.539928,0 days 00:02:21.352977,57,28,1.6467635254977433,COMPLETE
139,0.17323967828183434,2023-06-20 14:13:23.239050,2023-06-20 14:15:44.800883,0 days 00:02:21.561833,67,27,1.8209346929246493,COMPLETE
140,0.1699717123335499,2023-06-20 14:13:26.003663,2023-06-20 14:15:44.738567,0 days 00:02:18.734904,58,29,1.6406512384073715,COMPLETE
141,0.17445047990881588,2023-06-20 14:13:46.810003,2023-06-20 14:16:08.151910,0 days 00:02:21.341907,67,28,1.8390653701721453,COMPLETE
142,0.17222165218262914,2023-06-20 14:13:51.250641,2023-06-20 14:16:12.884889,0 days 00:02:21.634248,61,27,1.8127324075226292,COMPLETE
143,0.17751125148937474,2023-06-20 14:13:52.848255,2023-06-20 14:16:14.908358,0 days 00:02:22.060103,59,28,1.8229471745590105,COMPLETE
144,0.17263945913959752,2023-06-20 14:14:15.284270,2023-06-20 14:16:26.928831,0 days 00:02:11.644561,60,27,1.8053945362113373,COMPLETE
145,0.1745820588561843,2023-06-20 14:14:21.494888,2023-06-20 14:16:34.806284,0 days 00:02:13.311396,67,29,1.8401363861120357,COMPLETE
146,0.17136378711849654,2023-06-20 14:14:48.627860,2023-06-20 14:17:02.850413,0 days 00:02:14.222553,68,28,1.827229677799168,COMPLETE
147,0.16823160395873987,2023-06-20 14:14:56.024696,2023-06-20 14:17:13.502496,0 days 00:02:17.477800,61,28,1.5094000528454594,COMPLETE
148,0.17654706898424025,2023-06-20 14:15:06.660017,2023-06-20 14:17:22.313591,0 days 00:02:15.653574,62,29,1.837343019631221,COMPLETE
149,0.25507480041066105,2023-06-20 14:15:09.874915,2023-06-20 14:17:52.937557,0 days 00:02:43.062642,4,29,1.7982875836029106,COMPLETE
150,0.17654706898424025,2023-06-20 14:15:22.562279,2023-06-20 14:17:35.011985,0 days 00:02:12.449706,62,29,1.8355502185605699,COMPLETE
151,0.17777376854564375,2023-06-20 14:15:44.760256,2023-06-20 14:18:00.432865,0 days 00:02:15.672609,62,29,1.861875609187331,COMPLETE
152,0.16823160395873987,2023-06-20 14:15:44.849031,2023-06-20 14:18:02.426376,0 days 00:02:17.577345,61,29,1.5014719773190128,COMPLETE
153,0.16823160395873987,2023-06-20 14:16:08.189284,2023-06-20 14:18:26.262309,0 days 00:02:18.073025,61,29,1.5025075867496385,COMPLETE
154,0.16530003581473168,2023-06-20 14:16:12.929792,2023-06-20 14:18:29.506454,0 days 00:02:16.576662,51,29,1.5176183004277677,COMPLETE
